,age,overall,wage_eur,height_cm,weight_kg,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_heading_accuracy,attacking_short_passing,skill_dribbling,skill_curve,power_shot_power,power_jumping,mentality_aggression,mentality_interceptions,mentality_vision,mentality_penalties,league_level,nationality_rank,club_contract_valid_until,work_rate
13744,21,62,2000,175,70,74,35,49,63,58,58,65,53,45,64,53,37,64,54,59,45,43,2,3,2023,6
12454,26,63,9000,181,70,61,48,61,64,64,54,70,54,61,63,67,48,60,55,62,57,52,1,3,2022,6
3968,32,71,10000,184,77,70,70,75,71,42,70,82,49,71,71,83,80,64,51,46,76,79,2,4,2023,6
13867,20,62,1000,179,71,73,53,60,69,31,58,62,43,65,69,58,56,62,47,27,59,49,3,4,2024,6
4092,26,71,6000,187,80,80,65,61,66,67,78,70,66,65,67,55,80,81,62,70,48,45,2,5,2022,8
3521,33,72,13000,170,70,75,65,73,75,59,71,70,47,74,75,81,78,81,56,58,71,70,1,1,2022,6
16407,19,59,500,185,75,61,28,40,43,58,67,35,62,49,35,30,45,79,61,55,31,40,2,2,2023,6
2576,28,73,14000,179,76,82,70,73,75,32,56,74,43,73,75,76,76,72,39,37,73,60,2,4,2023,7
1444,23,76,39000,181,73,59,57,75,78,71,72,64,49,84,75,64,63,56,80,72,77,53,1,5,2024,6
10695,20,65,2000,170,60,82,56,60,67,45,43,59,50,63,65,55,56,43,45,31,62,52,1,7,2025,6
1021,25,77,22000,180,75,66,36,65,67,77,69,76,75,77,64,60,51,60,70,74,37,40,1,5,2023,6
18528,18,53,500,183,67,56,33,48,54,48,53,39,50,59,49,35,42,58,57,42,42,40,3,4,2023,6
7931,25,67,4000,189,79,54,71,71,64,58,72,75,56,69,62,74,85,56,61,61,66,74,1,7,2023,6
320,28,81,46000,188,81,57,45,67,65,82,81,59,83,74,63,54,63,85,85,82,65,52,1,3,2022,3
2648,28,73,12000,167,66,88,73,70,75,32,65,72,54,70,72,71,72,89,71,30,70,74,1,6,2022,8
15022,21,61,1000,185,80,65,32,37,44,60,68,24,57,53,33,28,34,71,63,55,25,33,1,2,2024,6
15021,17,61,700,180,67,66,47,60,66,50,50,43,55,69,65,55,56,66,64,46,62,54,1,2,2024,8
10138,26,65,3000,182,81,70,32,50,53,63,73,65,57,55,48,35,45,83,61,62,34,37,1,1,2022,6
6637,29,68,4000,178,73,70,61,66,67,62,64,72,49,65,66,72,80,60,69,65,58,46,1,10,2021,8
5332,20,70,5000,180,73,72,70,65,71,50,60,57,58,69,73,65,70,53,44,52,65,59,1,5,2025,6
6059,23,69,10000,184,68,86,63,60,70,26,50,64,49,66,71,56,63,53,34,25,64,64,2,4,2024,8
6630,26,68,10000,175,71,71,62,67,74,39,51,62,42,67,76,71,62,61,39,38,71,69,1,6,2022,5
6769,28,68,6000,179,75,77,64,62,69,49,76,61,62,66,70,51,71,79,68,60,62,37,1,1,2021,8
9399,21,66,10000,174,68,72,33,53,62,62,59,63,46,64,60,31,38,62,55,64,41,33,2,3,2022,6
4477,21,71,18000,197,82,62,35,49,52,71,75,24,69,64,49,28,59,68,69,68,52,35,1,2,2024,6
4637,34,70,5000,182,76,48,59,66,63,66,77,61,58,68,58,58,80,67,73,75,70,66,2,5,2022,6
8307,20,67,8000,175,65,65,48,67,72,57,56,58,57,73,72,58,60,57,57,59,71,51,2,2,2022,6
3113,32,72,24000,178,70,81,73,65,75,41,63,63,60,72,73,73,75,32,47,40,64,80,2,3,2022,8
17725,19,56,500,183,75,62,20,35,42,56,62,30,50,43,35,26,23,75,57,52,29,29,3,2,2025,6
3223,31,72,15000,188,84,50,75,57,66,36,69,56,78,62,63,59,80,74,66,44,62,81,2,3,2023,5
4185,29,71,14000,184,87,71,70,55,68,28,72,44,70,62,64,55,72,87,40,25,58,72,1,8,2025,6
9305,23,66,3000,178,73,66,57,62,66,64,68,53,57,68,64,48,61,76,67,62,65,50,3,3,2023,6
13799,22,62,2000,175,68,85,50,50,67,35,58,50,41,53,69,42,58,61,42,41,56,56,1,10,2023,5
13911,21,62,2000,178,65,74,59,58,63,43,57,57,47,58,62,58,58,55,42,41,60,59,3,3,2023,7
401,33,80,29000,176,65,71,84,78,74,73,80,73,59,82,70,73,93,74,85,68,81,63,1,9,2023,8
2264,25,74,11000,172,64,74,46,68,74,69,58,72,47,73,74,67,52,74,58,77,60,50,1,6,2024,6
10116,30,65,4000,186,72,51,33,41,36,66,74,27,67,50,24,55,60,70,64,63,29,37,1,1,2022,2
13531,26,62,4000,188,74,73,62,51,62,34,67,54,58,54,61,44,64,72,55,39,56,57,4,3,2023,8
7325,21,68,3000,188,79,54,50,59,62,64,72,43,55,71,63,45,61,61,72,65,57,47,1,1,2022,6
14279,19,62,1000,185,74,62,33,49,57,63,65,56,54,52,64,39,32,62,58,63,45,49,1,1,2023,6
175,25,83,71000,171,66,82,76,82,86,59,63,83,54,83,88,85,79,69,63,66,83,68,1,2,2023,8
2398,20,74,13000,177,71,86,70,69,76,50,73,73,70,72,77,59,77,85,75,50,67,66,1,1,2023,8
6699,28,68,12000,187,80,60,57,69,67,65,66,73,51,72,70,59,65,58,66,65,69,46,1,8,2022,6
